FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_001 496_A1_A01_001.fcs,496,21.7,10.9,10.8,1.63,0.72,7.35,0.97,8.38,56.8,1.39
Specimen_002 498_A2_A02_002.fcs,498,23.4,7.8,15.6,2.43,1.95,10.5,4.54,5.39,53.3,12
Specimen_003 499_A3_A03_003.fcs,499,6.05,3.11,2.93,0.58,0.58,1.22,0.96,3.12,79.3,4.39
Specimen_004 500_A4_A04_004.fcs,500,15.1,6.71,8.4,1.5,1.3,4.82,1.38,4.84,72.9,6.08
Specimen_005 501_A5_A05_005.fcs,501,27.7,9.48,18.2,3.27,1.51,11.8,4.78,10.4,50.8,7.7
Specimen_006 502_A6_A06_006.fcs,502,29.6,10.7,18.9,3.84,2.09,11.5,1.59,5.62,53.2,10.5
Specimen_007 503_A7_A07_007.fcs,503,10.5,3.67,6.82,1.49,1,3.66,0.8,1.59,83.1,4.48
Specimen_008 504_A8_A08_008.fcs,504,16.5,6.57,9.88,2.01,0.76,5.97,1.82,3.71,69.8,7.79
Specimen_009 505_A9_A09_009.fcs,505,17.6,6.88,10.8,1.92,0.92,6.77,4.57,4.1,55.7,6.68
Specimen_010 506_A10_A10_010.fcs,506,35.5,15.2,20.3,3.47,1.42,13.8,4.18,8.86,42.9,3.54
Specimen_011 507_A11_A11_011.fcs,507,17.8,4.46,13.4,2.41,1.19,8.43,5.15,5.95,61.3,3.88
Specimen_012 508_A12_A12_012.fcs,508,22.3,9.16,13.2,3.2,1.33,7.66,5.04,4.35,50.7,4.91
Specimen_013 509_B1_B01_013.fcs,509,23.6,6.11,17.5,3.71,2.13,8.6,3.43,17.2,44.3,6.56
Specimen_014 510_B2_B02_014.fcs,510,29.4,11.3,18.1,2.91,1.46,12.5,3.36,3.79,55.8,5.54
Specimen_015 511_B3_B03_015.fcs,511,35.9,16.8,19.1,3.33,1.14,13.4,1.72,7.44,39.8,3.23
Specimen_016 512_B4_B04_016.fcs,512,24.2,11.3,13,2.94,1.33,7.11,2.82,14.1,34,11.3
Specimen_017 513_B5_B05_017.fcs,513,15.5,6.31,9.18,1.7,1.44,5.34,1.92,2.66,70.5,9.41
Specimen_018 514_B6_B06_018.fcs,514,25.4,10.4,14.9,3.31,1.51,9.13,5.97,7,46.9,4.88
Specimen_019 515_B7_B07_019.fcs,515,14.3,5.03,9.26,1.63,0.87,5.73,1.76,3.52,64.5,5.95
Specimen_020 516_B8_B08_020.fcs,516,23.4,11.3,12.1,1.79,1.13,8.42,1.77,3.96,65.4,6.56
Specimen_021 518_B9_B09_021.fcs,518,38.5,11.3,27.3,5.62,2.06,18.3,7.98,6.69,39.6,4.57
Specimen_022 519_B10_B10_022.fcs,519,18.6,6.4,12.2,3,1.86,5.89,2.87,9.86,58.5,6.3
Specimen_023 520_B11_B11_023.fcs,520,15.4,5.7,9.68,2.86,0.94,4.95,2.79,4.51,73.4,3.76
Specimen_024 521_B12_B12_024.fcs,521,32,12,20,4.03,1.52,12.6,7.2,9.02,43,4.25
Specimen_025 522_C1_C01_025.fcs,522,10.4,4.77,5.6,0.98,0.83,3.28,2.81,2.58,73.7,8.08
Specimen_026 523_C2_C02_026.fcs,523,10.2,2.68,7.55,2.03,1.38,3.65,3.87,1.16,78.7,9.74
Specimen_027 524_C3_C03_027.fcs,524,15,7.24,7.73,1.68,1.17,4.38,3.48,2.89,67.6,13.5
Specimen_028 525_C4_C04_028.fcs,525,31.8,12,19.7,5.64,1.69,10.7,8.88,9.38,38.2,3.13
Specimen_029 527_C5_C05_029.fcs,527,5.14,3.04,2.09,0.42,0.5,0.84,0.72,1.79,86,3.31
Specimen_030 528_C6_C06_030.fcs,528,14.7,2.62,12.1,2.97,1.1,7.2,4.95,4.68,66.2,4.67
