,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_001 496_A1_A01_001.fcs,496,8.9,3.7,5.2,1.53,0.78,2.45,2.57,9.54,68,8.36
Specimen_002 498_A2_A02_002.fcs,498,12.9,2.19,10.8,5.58,1.27,3,3,12.4,60,8.36
Specimen_003 499_A3_A03_003.fcs,499,9.36,2.84,6.51,2.17,1.28,2.28,3.36,5.07,58.9,21.5
Specimen_004 500_A4_A04_004.fcs,500,11.7,3.4,8.25,2.59,1.6,3.45,2.63,6.48,72.3,12.5
Specimen_005 501_A5_A05_005.fcs,501,19.5,6.59,12.9,3.63,2.33,5.89,3.29,9.47,59,15.8
Specimen_006 502_A6_A06_006.fcs,502,19.2,2.42,16.7,6.75,1.85,6.86,2.71,15.2,50.9,7.96
Specimen_007 503_A7_A07_007.fcs,503,12.2,2.69,9.49,4.56,1.04,2.64,3.13,12.9,64.4,3.97
Specimen_008 504_A8_A08_008.fcs,504,18.3,3.24,15,7.72,0.91,5.22,6.53,6.96,62.8,9.66
Specimen_009 505_A9_A09_009.fcs,505,17.9,2.75,15.2,5.59,1.4,7.14,3.25,8.52,58.3,3.05
Specimen_010 506_A10_A10_010.fcs,506,23.6,8.81,14.7,3.89,1.9,8.04,4.6,6.76,45.4,16.2
Specimen_011 507_A11_A11_011.fcs,507,6.22,1.55,4.66,0.91,0.69,2.74,1.03,3.01,80.9,9.14
Specimen_012 508_A12_A12_012.fcs,508,13.5,2.09,11.4,6.46,0.93,2.78,4.25,14.2,57.4,7.64
Specimen_013 509_B1_B01_013.fcs,509,11.2,3.32,7.85,1.72,1.88,3.08,5.42,16.2,56.2,15.6
Specimen_014 510_B2_B02_014.fcs,510,10.7,2.86,7.84,2.93,1.13,3.19,3.41,4.59,57.6,8.38
Specimen_015 511_B3_B03_015.fcs,511,11.9,1.18,10.7,4.54,1.19,4.45,2.84,6.59,76,12.2
Specimen_016 512_B4_B04_016.fcs,512,13.5,1.2,12.2,3.83,2.05,5.47,1.87,11.5,67.1,13.6
Specimen_017 513_B5_B05_017.fcs,513,12.3,1.42,10.9,5.69,1.35,3.06,2.14,7.54,76.7,8.5
Specimen_018 514_B6_B06_018.fcs,514,10.3,1.62,8.62,4.23,0.9,2.53,1.65,4.42,80.2,4.86
Specimen_019 515_B7_B07_019.fcs,515,9.49,1.09,8.38,2.7,1.12,3.76,1.56,4.58,77.9,4.85
Specimen_020 516_B8_B08_020.fcs,516,13.3,4.98,8.31,2.27,1.2,4.13,1.51,7.29,68.5,11.1
Specimen_022 518_B10_B10_022.fcs,518,27.4,3.14,24.3,10.9,2.03,10.3,4.85,9.37,51.1,6.32
