FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_001 502_D1_D01_010.fcs,502,41,12.6,28.4,5.02,2.83,18.8,10.9,22.1,15.7,3.64
Specimen_002 503_D2_D02_011.fcs,503,25.5,8.27,17.1,3.76,0.91,7.36,7.27,12.9,33.9,2.08
Specimen_003 504_D3_D03_012.fcs,504,31.9,10.6,21.2,4.14,0.97,14.9,2.03,9.99,36.4,2.67
Specimen_004 505_D4_D04_013.fcs,505,27.1,10.9,16.2,3.03,0.76,11,3.93,14.2,19,1.32
Specimen_005 509_D5_D05_014.fcs,509,23.1,8.07,15,2.96,1.8,8.94,2.78,21.2,43.1,6.29
Specimen_006 512_D6_D06_015.fcs,512,30.6,11.3,19.2,2.71,1.92,13.5,8.5,21.4,24.9,4.74
Specimen_007 513_D7_D07_016.fcs,513,39.4,12.2,27.1,6.36,2.15,12.8,2.99,14.7,32.5,4.84
Specimen_008 514_D8_D08_017.fcs,514,39.1,14.1,25,4.86,1.63,17.2,2.63,14.7,21.6,1.09
Specimen_009 515_D9_D09_018.fcs,515,17.2,8.46,8.68,1.73,0.98,5.08,15.7,13.6,17.7,1.65
Specimen_010 522_D10_D10_019.fcs,522,38.5,18.4,20,2.51,2.71,13.3,6.9,18.5,19.4,2.6
Specimen_011 523_D11_D11_020.fcs,523,44.1,10.9,33.1,4.31,7.65,20.7,3.63,9.48,32.2,3.39
Specimen_012 524_D12_D12_021.fcs,524,31.1,11.2,19.8,3.68,2.69,12.1,5.38,8.55,51.9,12.2
Specimen_013 525_E1_E01_022.fcs,525,33.9,13.3,20.6,6.66,1.99,10.4,27.3,12.3,6.01,0.91
Specimen_014 552_E2_E02_023.fcs,552,31.1,9.48,21.6,4.09,1.23,14.1,10.9,11,19.5,1.72
Specimen_015 600_E3_E03_024.fcs,600,28.2,7.93,20.2,4.9,2.41,11.9,6.79,16.2,37.2,3.95
