FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_001 496_A1_A01_001.fcs,496,25.2,13.5,11.7,1.9,1.05,7.54,4.87,17,28.9,3.42
Specimen_002 498_A2_A02_002.fcs,498,23.2,7.6,15.6,0.98,3.53,10.7,5.6,10.1,54.7,14.8
Specimen_003 499_A3_A03_003.fcs,499,18,6.25,11.7,2.26,2.43,6.35,6.36,9,56.9,10.5
Specimen_004 500_A4_A04_004.fcs,500,16.3,4.99,11.3,1.59,1.88,7.15,3.16,6.91,68.5,7.89
Specimen_005 501_A5_A05_005.fcs,501,26.2,9.55,16.6,2.69,2.46,9.8,5.14,8.06,52.9,11.7
Specimen_006 502_A6_A06_006.fcs,502,34.2,9.5,24.6,4,3.16,16.2,2.68,11.6,36,4.28
Specimen_007 503_A7_A07_007.fcs,503,16.8,4.97,11.8,2.63,0.55,3.27,1.36,4.91,69.8,4.88
Specimen_008 504_A8_A08_008.fcs,504,24.1,6.96,17.1,2.54,1.16,12.2,1.65,4.86,58.7,6.89
Specimen_009 505_A9_A09_009.fcs,505,16.4,4.57,11.8,1.74,0.81,8.31,4.86,6.86,59.1,3.24
Specimen_010 506_A10_A10_010.fcs,506,36.2,12.6,23.6,2.03,3.01,17.9,2.68,10,39.6,6.44
Specimen_011 507_A11_A11_011.fcs,507,27.2,5.89,21.3,2.92,2.69,14.8,2.14,7.51,55.2,7.02
Specimen_012 508_A12_A12_012.fcs,508,26.6,7.17,19.4,3.27,2.37,12.2,5.46,13.1,46.1,9.23
Specimen_013 509_B1_B01_013.fcs,509,19.8,5.39,14.4,2.73,2.47,7.73,1.98,17.4,53.3,9.6
Specimen_014 510_B2_B02_014.fcs,510,21.1,7.03,14,1.73,1.43,10,2.44,7.24,65,7.79
Specimen_015 511_B3_B03_015.fcs,511,27.1,9.34,17.7,3.62,2.21,9.73,5.31,9.58,50.7,7.76
Specimen_016 512_B4_B04_016.fcs,512,23.6,7.56,16,2.09,1.49,11.1,0.96,11.7,55.9,6.18
Specimen_017 513_B5_B05_017.fcs,513,27.7,8.76,18.8,4.05,1.76,7.38,1.53,7.99,55.8,7.09
Specimen_018 514_B6_B06_018.fcs,514,17.9,6.18,11.6,2.46,0.82,7.45,0.53,3.79,12.5,4.77
Specimen_019 515_B7_B07_019.fcs,515,16.7,5.47,11.2,1.51,1.34,7.09,3.15,8.65,54.7,4.81
Specimen_020 516_B8_B08_020.fcs,516,27,11.6,15.4,2.61,2.01,9.6,7.04,9.79,47.6,6.05
Specimen_021 517_B9_B09_021.fcs,517,18.8,5.87,12.8,0.12,2.98,9.72,10.8,2.94,59.5,9.05
Specimen_022 518_B10_B10_022.fcs,518,29.1,8,21,3.3,1.89,14.7,16,9.77,39.7,6.13
Specimen_023 519_B11_B11_023.fcs,519,21.8,7.13,14.6,2.08,3.75,8.16,6.38,14.1,45.5,9.3
Specimen_024 520_B12_B12_024.fcs,520,16.4,6.25,10.1,2.48,1.31,5.4,6.17,8.68,62.9,5.41
Specimen_025 521_C1_C01_025.fcs,521,25.7,10.1,15.6,2.14,1.73,10.3,2.63,11.1,52.8,9.04
Specimen_026 522_C2_C02_026.fcs,522,19.4,8.94,10.4,1.08,1.31,7.32,1.3,5.42,53.2,7.81
Specimen_027 523_C3_C03_027.fcs,523,21.2,3.96,17.2,3.05,2.85,11,2.01,2.93,66.9,5.02
Specimen_028 524_C4_C04_028.fcs,524,23.3,10,13.2,2.15,1.96,8.09,1.17,4.94,52.1,5.89
