FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_001 496_A1_A01_001.fcs,496,32,14.4,17.6,2.77,1.25,11.5,2.27,14.7,36.9,4.22
Specimen_002 498_A2_A02_002.fcs,498,29.8,7.86,21.9,3.29,3.21,13.7,3.72,9.18,48.4,7.17
Specimen_003 499_A3_A03_003.fcs,499,21.7,6.98,14.7,3.11,2.27,8,5.74,6.89,48.9,5.74
Specimen_004 500_A4_A04_004.fcs,500,18.2,5.27,12.9,2.17,1.77,7.99,3.79,4.68,67.2,4.99
Specimen_005 501_A5_A05_005.fcs,501,36.7,11.6,25,4.27,2.56,16.3,5.88,8.39,40.2,3.48
Specimen_006 502_A6_A06_006.fcs,502,13.9,5.85,8.01,1.49,1.12,4.13,2.26,6.77,62.4,10.6
Specimen_007 503_A7_A07_007.fcs,503,3.18,0.76,2.41,0.44,0.43,1.09,0.44,0.81,93.9,3.49
Specimen_008 504_A8_A08_008.fcs,504,31.9,12.1,19.8,3.53,1.39,12.3,1.69,6.31,44.8,5.29
Specimen_009 505_A9_A09_009.fcs,505,7.54,2.28,5.24,0.92,0.27,1.72,1.01,2.62,80.6,2.54
Specimen_010 506_A10_A10_010.fcs,506,36.4,14.3,22.1,2.7,2.47,15.6,6.23,9.05,35.3,2.52
Specimen_011 507_A11_A11_011.fcs,507,28.6,6.84,21.7,3.32,1.81,14.4,1.24,6.06,54.1,3.52
Specimen_012 508_A12_A12_012.fcs,508,34.8,8.54,26.2,5.13,2.44,15.8,4.73,11.7,41.8,4.57
Specimen_013 509_B1_B01_013.fcs,509,25.8,7.62,18.2,3.71,2.61,9.61,2.76,16.9,43.8,4.38
Specimen_014 510_B2_B02_014.fcs,510,24.8,8.09,16.7,2.72,1.35,11.3,3.9,5.24,62,5.28
Specimen_015 511_B3_B03_015.fcs,511,30.8,10.6,20.2,3.53,1.62,13.6,4.94,6.56,47.4,5.3
Specimen_016 512_B4_B04_016.fcs,512,7,3.64,3.34,0.78,0.32,1.37,1.67,4.53,80.9,5
Specimen_017 513_B5_B05_017.fcs,513,24.8,8.07,16.6,3.05,2.58,9.57,0.82,6.18,60.3,10.1
Specimen_018 514_B6_B06_018.fcs,514,8.3,3.65,4.63,0.97,0.45,2.32,0.71,2.91,79.9,4.13
Specimen_019 515_B7_B07_019.fcs,515,19,7.43,11.6,2.03,1.31,5.99,1.91,7.6,47.2,23.8
Specimen_020 516_B8_B08_020.fcs,516,27.3,13.3,14,2.09,1.57,9.08,4.11,6.96,54,4.79
